"stock","year","mean","sd","median","lwr95CI","upr95CI","cv","obs"
"Kisaralik",1995,7322.56139719453,1927.25175916682,7004.58420764222,4540.17644940775,11935.0018278616,0.263193663340973,1
"Kisaralik",1996,7039.86482473229,1852.83873726951,6734.16005901914,4363.47780313364,11473.3171521639,0.263192374200164,0
"Kisaralik",1997,2587.393808452,681.134903499869,2475.37151857998,1609.40198789593,4205.81797514369,0.263251346306414,1
"Kisaralik",1998,2693.40502312534,709.014717263491,2577.80258273038,1675.63168910376,4379.24291125057,0.263241031770548,1
"Kisaralik",1999,2828.86379743017,744.642084236028,2707.49132742676,1760.13936914254,4601.60333015257,0.263230094327089,0
"Kisaralik",2000,2128.01187820086,560.355727914501,2036.13595921301,1323.77092471409,3458.11934796822,0.263323590274438,0
"Kisaralik",2001,4424.92152945656,1164.58159762854,4232.74663086506,2750.66170204393,7208.61962088916,0.263186949164174,0
"Kisaralik",2002,10173.0851695221,2677.61552069773,9731.20065158432,6308.26672073254,16590.3223078135,0.263205849167535,1
"Kisaralik",2003,3853.63887260579,1014.24801542045,3684.64555463472,2396.89455397232,6274.18667161123,0.263192283695909,1
"Kisaralik",2004,30374.1110767197,7995.66822348647,29051.9989909753,18853.536696092,49581.2468341337,0.263239579367139,1
"Kisaralik",2005,12994.1613822182,3420.25908962252,12423.1377564166,8059.66680679454,21197.5506340469,0.263215069369767,1
"Kisaralik",2006,27882.8475318962,7339.81698259764,26667.853592297,17310.7508118404,45512.793445728,0.263237711794011,1
"Kisaralik",2007,4077.44032580506,1073.13945191516,3899.93800098542,2534.60450206727,6640.2531878232,0.263189492958006,1
"Kisaralik",2008,6327.23388165039,1665.26005593446,6050.88314955965,3923.21296578138,10309.4870321759,0.26318926834108,1
"Kisaralik",2009,3600.38985977503,947.611775776589,3443.34942932142,2238.51407548467,5859.87652763342,0.263196990515855,0
"Kisaralik",2010,1385.93337548748,365.473067761303,1326.0183354238,860.784900020425,2256.14037349694,0.263701758125822,1
